epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2857690751552582,6.068794250488281,1e-04,0.3758370578289032,4.2033867835998535
1,0.3776894509792328,3.2689123153686523,1e-04,0.4522879421710968,2.4648990631103516
2,0.4401088058948517,2.16217303276062,1e-04,0.4988839328289032,1.825587272644043
3,0.48090803623199463,1.745457410812378,1e-04,0.4963727593421936,1.6438802480697632
4,0.49823901057243347,1.5744919776916504,1e-04,0.5583147406578064,1.3932253122329712
5,0.518708348274231,1.4710819721221924,1e-04,0.5588727593421936,1.3238495588302612
6,0.5346444845199585,1.4068193435668945,1e-04,0.5717076063156128,1.3038429021835327
7,0.5423161387443542,1.362748384475708,1e-04,0.5867745280265808,1.246829867362976
8,0.553161084651947,1.3245426416397095,1e-04,0.5920758843421936,1.2217119932174683
9,0.5609722137451172,1.3046176433563232,1e-04,0.6015625,1.2036992311477661
10,0.5642849802970886,1.2889373302459717,1e-04,0.6018415093421936,1.1964324712753296
11,0.5746417045593262,1.2618484497070312,1e-04,0.6001673936843872,1.1847416162490845
12,0.5792098045349121,1.2469754219055176,1e-04,0.6185826063156128,1.1589969396591187
13,0.5859399437904358,1.2335149049758911,1e-04,0.6046317219734192,1.1702359914779663
14,0.5851030349731445,1.2279540300369263,1e-04,0.619140625,1.1471481323242188
15,0.5878927111625671,1.2208575010299683,1e-04,0.5775669813156128,1.2632867097854614
16,0.5949018597602844,1.2085280418395996,1e-04,0.6319754719734192,1.1245182752609253
17,0.5966105461120605,1.1909074783325195,1e-04,0.6219307780265808,1.1467641592025757
18,0.6000627875328064,1.189751148223877,1e-04,0.6325334906578064,1.125618577003479
19,0.6088154315948486,1.1727694272994995,1e-04,0.6255580186843872,1.1375380754470825
20,0.6076647043228149,1.1686550378799438,1e-04,0.6177455186843872,1.156124234199524
21,0.61076819896698,1.1629127264022827,1e-04,0.6400669813156128,1.0995253324508667
22,0.6115702390670776,1.1608458757400513,1e-04,0.6515067219734192,1.086388349533081
23,0.6151270866394043,1.152176022529602,1e-04,0.6431361436843872,1.095639705657959
24,0.6173588633537292,1.1481512784957886,1e-04,0.6414620280265808,1.1014395952224731
25,0.6196603775024414,1.1394217014312744,1e-04,0.6303013563156128,1.1328003406524658
26,0.6204624176025391,1.1378108263015747,1e-04,0.6305803656578064,1.13517427444458
27,0.6258325576782227,1.1280479431152344,1e-04,0.6417410969734192,1.0921145677566528
28,0.6258325576782227,1.1262915134429932,1e-04,0.6400669813156128,1.0932894945144653
29,0.6471737027168274,1.0675264596939087,2e-05,0.66015625,1.052920937538147
30,0.652369499206543,1.0461132526397705,2e-05,0.6626673936843872,1.0472091436386108
31,0.6560309529304504,1.0322312116622925,2e-05,0.6651785969734192,1.0376185178756714
32,0.6571817398071289,1.0262426137924194,2e-05,0.6629464030265808,1.0319708585739136
33,0.6591345071792603,1.0204497575759888,2e-05,0.6640625,1.0295437574386597
34,0.6602154970169067,1.0142556428909302,2e-05,0.66796875,1.0235456228256226
35,0.6628656983375549,1.0067238807678223,2e-05,0.6690848469734192,1.0118499994277954
36,0.6647835969924927,1.002364158630371,2e-05,0.6629464030265808,1.0230255126953125
37,0.6652020812034607,0.9986182451248169,2e-05,0.6648995280265808,1.0183693170547485
38,0.6697004437446594,0.9943405985832214,2e-05,0.6668526530265808,1.0094447135925293
39,0.666387677192688,0.9891096353530884,2e-05,0.6710379719734192,1.0054807662963867
40,0.6707116961479187,0.9827829599380493,2e-05,0.6654576063156128,1.0036834478378296
41,0.6722809076309204,0.978877067565918,2e-05,0.6676897406578064,1.0009794235229492
42,0.6736757755279541,0.9756032824516296,2e-05,0.6724330186843872,1.0080146789550781
43,0.6733619570732117,0.9750577807426453,2e-05,0.662109375,1.0242127180099487
44,0.6732224225997925,0.9715672135353088,2e-05,0.6668526530265808,1.0036847591400146
45,0.6741988062858582,0.9636960625648499,2e-05,0.673828125,1.0088403224945068
46,0.6732921600341797,0.9609740972518921,2e-05,0.662109375,1.0001375675201416
47,0.6789064407348633,0.9573865532875061,2e-05,0.6696428656578064,1.0048766136169434
48,0.6743034720420837,0.9570083022117615,2e-05,0.6623883843421936,1.0104272365570068
49,0.6744429469108582,0.9607487916946411,2e-05,0.6760602593421936,0.9898391366004944
50,0.6788018345832825,0.953620195388794,2e-05,0.6657366156578064,1.0021790266036987
51,0.6842765808105469,0.9398125410079956,2e-05,0.6702008843421936,1.0074158906936646
52,0.6790807843208313,0.9459658861160278,2e-05,0.6732701063156128,1.002350926399231
53,0.6818355917930603,0.9475461840629578,2e-05,0.6766182780265808,0.988630473613739
54,0.6819751262664795,0.9410975575447083,2e-05,0.6752232313156128,1.0035604238510132
55,0.683056116104126,0.9452075362205505,2e-05,0.6682477593421936,1.0088229179382324
56,0.6845904588699341,0.9349837899208069,2e-05,0.6727120280265808,0.9944993853569031
57,0.68357914686203,0.934464693069458,2e-05,0.6729910969734192,1.0160528421401978
58,0.6830212473869324,0.9343888163566589,2e-05,0.6755022406578064,0.9814759492874146
59,0.689332902431488,0.930474579334259,2e-05,0.669921875,0.9930844902992249
